,Country,Time_Period,CO2_Emission_Tonnes,Nuclear_Perc,Renewable_Perc,Fossil_Perc,GDP in B,Population,GDP_per_capita,Uniq_ID,Status,CO2_Emission_Tonnes_rate,Nuclear_Perc_rate,Renewable_Perc_rate,Fossil_Perc_rate,GDP in B_rate,Population_rate,GDP_per_capita_rate,GDP_per_capita_2024,Dev_Category,CO2_per_capita
3106,Russia,2046,787062.1982887862,24.413732292333293,0.8611441232202992,56.95163477620514,3889.8038873483893,174492964.01692295,26661.101131999283,Russia_2046,Predicted,-0.22926251245160012,0.8741366271511453,2.148262205828111,-0.3995835785780444,1.9036092021447404,0.8701156104508945,1.732732349182986,16107.16753374931,Developing,4.510566960238317
3107,Russia,2047,785253.6133110723,24.625292344451225,0.8792546944012116,56.723152417923984,3962.46732422238,175998157.6115384,27115.198366286582,Russia_2047,Predicted,-0.22978933325041861,0.8665616939871557,2.1030824797580783,-0.4011866545692522,1.8680488522912153,0.8626099069928506,1.7032201034723249,16107.16753374931,Developing,4.461714963200224
3108,Russia,2048,783445.0283333589,24.836852396569157,0.897365265582124,56.494670059642885,4035.1307610963995,177503351.20615387,27569.29560057388,Russia_2048,Predicted,-0.2303185807814856,0.8591169158875145,2.0597639451042093,-0.40280264502524643,1.8337927086447214,0.8552325859783716,1.6746963387584746,16107.16753374931,Developing,4.413691476863777
3109,Russia,2049,781636.4433556455,25.04841244868709,0.9154758367630365,56.26618770136179,4107.794197970419,179008544.80076933,28023.39283486118,Russia_2049,Predicted,-0.2308502718513461,0.8517989668737291,2.018193914510835,-0.40443170663689854,1.800770313928468,0.8479803814336551,1.6471122108678182,16107.16753374931,Developing,4.366475601628857
3110,Russia,2050,779827.8583779316,25.25997250080502,0.9335864079439489,56.03770534308063,4180.45763484441,180513738.3953848,28477.49006914848,Russia_2050,Predicted,-0.2313844234218987,0.8446046333328461,1.97826861765662,-0.4060739986399109,1.768916196188508,0.8408501372326516,1.6204220415537929,16107.16753374931,Developing,4.320047134971249
3111,Rwanda,2000,0.0,0.0,0.604790419161677,36.5269461077844,0.9125777150222802,8476761.0,107.65641676370022,Rwanda_2000,Actual,,,,,,,,927.972838507133,Underdeveloped,0.0
3112,Rwanda,2001,0.0,0.0,0.986666666666667,40.0,1.4258124283801408,8662402.0,164.59781344483213,Rwanda_2001,Actual,,,63.141914191419126,9.50819672131158,56.240110284232614,2.1899992225804077,52.891781458893504,927.972838507133,Underdeveloped,0.0
3113,Rwanda,2002,9.710892302206048,0.0,0.888888888888889,42.1052631578947,1.939047141737774,8852108.0,219.0491961618378,Rwanda_2002,Actual,0.0,,-9.909909909909942,5.2631578947367474,35.99594891599569,2.189993029646975,33.08147391353775,927.972838507133,Underdeveloped,0.0010970146661344448
3114,Rwanda,2003,23.607505930922343,0.0,0.561111111111111,33.8888888888889,2.4522818550956345,9045970.0,271.0910886389889,Rwanda_2003,Actual,143.10336471921707,,-36.875000000000014,-19.513888888888786,26.46839792135738,2.1900094305220774,23.758084206207954,927.972838507133,Underdeveloped,0.0026097263124819498
3115,Rwanda,2004,37.50411955964228,0.0,1.15753424657534,41.7808219178082,2.9655165684532676,9244076.0,320.8018376799658,Rwanda_2004,Actual,58.865234088610016,,106.2932320629319,23.287671232876605,20.92886314398057,2.1899917863976937,18.33728629389826,927.972838507133,Underdeveloped,0.004057097708807487
3116,Rwanda,2005,51.40073318835857,0.0,0.848167539267016,47.6439790575916,3.478751281811128,9446522.0,368.25736306030177,Rwanda_2005,Actual,37.05356582659327,,-26.726354595867097,14.033130203416032,17.306755889263158,2.1900079575286835,14.79278476817143,927.972838507133,Underdeveloped,0.005441233629515559
3117,Rwanda,2006,91.4245059,0.0,0.533834586466165,51.8796992481203,3.9919859951687613,9653400.0,413.5316049442436,Rwanda_2006,Actual,77.86615137370485,,-37.06024320059416,8.890357762538281,14.753417872703722,2.1899911946428485,12.29418510676954,927.972838507133,Underdeveloped,0.009470705233389273
3118,Rwanda,2007,95.620863,0.0,1.12301587301587,50.7936507936508,4.505220708526622,9864810.0,456.69614605112736,Rwanda_2007,Actual,4.589969679015793,,110.36776212832508,-2.093397745571657,12.856626099865952,2.1900055938840257,10.43802712798787,927.972838507133,Underdeveloped,0.009693127693285527
3119,Rwanda,2008,57.831345,0.0,0.585964912280702,44.5614035087719,5.018455421884255,10080849.0,497.82071151787466,Rwanda_2008,Actual,-39.520159946684444,,-47.82220569090554,-12.269736842105328,11.39199933948365,2.189996563542529,9.0047980089903,927.972838507133,Underdeveloped,0.005736753422256399
3120,Rwanda,2009,105.405624,0.0,0.846153846153846,47.7564102564103,5.5316901352421155,10301620.0,536.9728387614877,Rwanda_2009,Actual,82.2638294163831,,44.40350069092575,7.169897032101913,10.226945747485772,2.1900040363663775,7.864704368011655,927.972838507133,Underdeveloped,0.010231946431726271
3121,Rwanda,2010,108.88502376,0.0,28.6829268292683,60.2787456445993,6.044924848599976,10527225.0,574.218262514573,Rwanda_2010,Actual,3.3009621573892423,,3289.8004434589816,26.221266047751435,9.278081396643456,2.189995359953101,6.936183930455564,927.972838507133,Underdeveloped,0.010343183864693687
3122,Rwanda,2011,131.859135771,0.0,22.3247126436782,56.6091954022989,6.558159561957609,10757772.0,609.6206130746784,Rwanda_2011,Actual,21.09942324266616,,-22.16724333411514,-6.087635373064815,8.490340677709174,2.190007338116162,6.165312542494594,927.972838507133,Underdeveloped,0.012257104516715914
3123,Rwanda,2012,146.235415365,0.0,23.8346055979644,53.4351145038168,7.07139427531547,10993367.0,643.2418998943153,Rwanda_2012,Actual,10.902755815848275,,6.7633253712394925,-5.607005851125734,7.825895489567203,2.1899980776688643,5.515116467283621,927.972838507133,Underdeveloped,0.0133021498659146
3124,Rwanda,2013,182.5945698,0.0,27.7744565217391,59.5108695652174,7.584628988673103,11234122.0,675.1421240283045,Rwanda_2013,Actual,24.863439779104436,,16.52996063887535,11.370341614906842,7.257899833830672,2.1900023896227694,4.9592888988155615,927.972838507133,Underdeveloped,0.016253568351848057
